req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=10077,3
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10957,71
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10027/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=300&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10957/users,47
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10593/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,57
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10027,139
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12159,105
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10027/users,93
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10701/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,67
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12159/users,70
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10765/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12170/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,5
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10987/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10701/users,136
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10701,208
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10987/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10987,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10530,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10765,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10765/users,24
/,330
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12236/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,48
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10530/users,48
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12041,35
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12236,146
